WH_capacity_size,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,wh_age,Location_Urban,Zone_North,Zone_South,Zone_West,Regional_Zone_Zone 2,Regional_Zone_Zone 3,Regional_Zone_Zone 4,Regional_Zone_Zone 5,Regional_Zone_Zone 6,Owner_Type_Company Owned,Owner_Type_Rented
2,8,0,2,5678,31,0,0,1,65,41.0,19,0,3,4,1,24062,7.0,0,0,1,0,1,0,0,0,0,1,0
2,6,0,2,3980,49,0,0,1,156,31.0,14,1,3,6,19,17117,13.0,0,0,1,0,0,1,0,0,0,1,0
1,5,0,4,3588,69,0,0,0,199,24.0,28,1,5,6,8,40150,26.0,0,1,0,0,0,0,0,0,1,1,0
2,8,1,2,4388,32,0,0,1,80,37.0,25,0,5,5,19,32098,20.0,0,0,1,0,0,1,0,0,0,1,0
3,1,0,4,5670,25,0,0,1,140,31.0,12,0,5,2,14,15125,14.0,1,0,0,1,0,0,0,1,0,0,1
2,7,1,3,5496,46,0,0,0,67,31.0,22,0,4,3,27,26066,17.0,0,1,0,0,0,1,0,0,0,1,0
1,5,3,4,4063,40,0,0,1,229,21.0,8,0,5,6,9,10077,14.0,0,0,0,1,0,0,0,0,1,1,0
1,8,3,2,5790,31,0,0,0,98,36.0,11,0,5,4,9,14150,14.0,0,0,1,0,0,0,0,0,1,0,1
1,3,1,1,7692,62,1,0,0,154,20.0,0,0,6,0,8,3123,14.0,0,1,0,0,0,0,0,0,1,1,0
3,8,0,4,5119,48,0,0,0,261,24.0,6,1,2,1,6,8056,4.0,0,0,0,1,0,0,0,0,1,1,0
2,5,0,4,4552,67,0,0,0,230,17.0,12,0,3,5,11,15082,6.0,0,0,0,1,0,0,1,0,0,0,1
3,4,0,2,3540,21,0,0,0,164,19.0,18,1,3,6,23,21064,14.0,0,1,0,0,0,0,0,0,1,0,1
2,4,0,3,3559,51,0,0,1,197,29.0,34,0,2,4,12,45061,20.0,0,0,1,0,1,0,0,0,0,1,0
2,7,0,2,6695,51,0,0,1,80,24.0,14,1,1,3,26,21116,8.0,0,0,1,0,0,0,1,0,0,0,1
1,4,0,2,5329,57,0,0,0,262,46.0,16,0,5,1,2,22055,11.0,0,0,1,0,0,0,0,0,1,1,0
3,0,1,4,5353,28,0,0,1,80,30.0,0,0,6,0,24,4141,14.0,0,1,0,0,0,0,0,1,0,0,1
3,5,0,3,4031,59,0,0,1,125,24.0,34,0,4,5,14,42116,25.0,0,0,0,1,0,0,0,1,0,1,0
2,0,1,8,6804,59,0,0,0,77,29.0,17,0,4,4,27,19100,14.0,0,0,0,0,0,1,0,0,0,0,1
3,5,0,4,6915,16,0,0,1,94,33.0,0,0,6,0,23,6117,2.0,0,0,0,1,0,0,0,0,1,1,0
2,7,0,3,4243,23,0,0,1,153,43.0,38,0,4,2,19,47071,17.0,0,0,1,0,0,1,0,0,0,1,0
3,3,0,4,6729,21,0,0,1,80,32.0,23,1,5,5,23,32117,19.0,0,0,0,1,0,0,0,0,1,0,1
1,1,0,1,4487,46,0,1,1,216,28.0,25,0,5,5,21,31087,14.0,0,0,1,0,0,0,0,0,0,1,0
3,5,2,2,4714,17,0,0,0,247,26.0,16,1,1,3,28,20149,14.0,0,1,0,0,0,0,0,0,1,0,1
3,5,0,2,3285,56,0,0,0,123,28.0,25,0,5,4,28,31139,23.0,0,1,0,0,0,0,0,0,1,1,0
3,7,1,2,4922,22,0,0,0,167,20.0,22,0,4,4,23,27137,18.0,0,1,0,0,0,0,0,0,1,0,1
3,7,0,3,5667,63,0,0,1,220,38.0,21,1,1,3,14,31113,8.0,1,0,0,1,0,0,0,1,0,1,0
2,1,1,3,5551,30,0,0,0,134,30.0,15,0,2,2,26,20092,14.0,0,0,1,0,0,0,1,0,0,0,1
3,3,0,3,4200,57,0,0,1,216,39.0,36,0,2,6,28,49083,25.0,0,1,0,0,0,0,0,0,1,0,1
3,1,0,2,5601,53,0,0,0,64,40.0,9,0,4,1,29,10145,14.0,0,0,0,1,0,0,0,0,1,0,1
3,3,0,3,3700,66,0,0,1,196,26.0,31,1,1,5,10,44116,23.0,1,0,1,0,0,0,0,1,0,1,0
2,4,0,4,4020,36,0,0,0,240,23.0,6,1,1,5,19,8127,7.0,0,0,0,1,0,1,0,0,0,0,1
3,4,0,4,4472,50,0,0,1,85,23.0,20,1,5,3,6,27128,14.0,1,0,0,1,0,0,0,0,1,1,0
2,3,0,5,4248,29,0,0,1,242,31.0,16,0,3,5,26,20127,14.0,0,1,0,0,0,0,1,0,0,1,0
2,6,1,2,3943,38,0,0,0,190,19.0,18,0,2,4,1,23149,15.0,0,1,0,0,1,0,0,0,0,0,1
2,4,0,2,4897,44,0,0,0,253,27.0,18,1,1,2,27,23134,12.0,0,0,1,0,0,1,0,0,0,0,1
1,3,0,4,4524,55,0,0,1,66,24.0,14,0,3,3,13,18150,8.0,0,1,0,0,0,0,0,0,1,1,0
3,6,0,4,5559,49,0,0,0,229,20.0,9,1,3,4,23,10080,9.0,0,0,0,1,0,0,0,0,1,0,1
3,2,4,2,5308,69,0,0,1,77,39.0,17,0,4,3,23,19095,14.0,0,1,0,0,0,0,0,0,1,0,1
1,1,1,2,4004,38,1,0,1,168,27.0,25,1,5,4,21,32057,14.0,0,0,1,0,0,0,0,0,0,1,0
3,8,0,2,7311,62,0,0,1,219,34.0,21,0,2,6,17,28127,13.0,1,1,0,0,0,0,0,1,0,1,0
1,4,0,2,4657,39,0,0,0,110,17.0,23,0,3,5,30,27107,23.0,1,1,0,0,0,0,0,0,0,0,1
1,2,0,4,3810,54,0,0,1,69,30.0,31,1,1,2,13,44129,14.0,0,1,0,0,0,0,0,0,1,0,1
3,7,0,4,4445,47,1,1,1,239,29.0,10,1,1,5,23,13061,11.0,0,0,1,0,0,0,0,0,1,0,1
2,3,1,2,5193,30,0,0,0,237,26.0,20,1,1,6,32,25145,12.0,0,0,1,0,1,0,0,0,0,0,1
3,1,1,2,4770,37,0,0,1,113,16.0,22,0,4,2,7,26060,14.0,0,1,0,0,0,0,0,0,1,1,0
3,5,0,4,5772,28,0,0,1,181,32.0,25,0,3,3,25,28143,24.0,0,0,0,1,0,0,0,1,0,1,0
2,4,0,4,6074,49,0,0,0,255,22.0,32,0,5,4,26,44116,23.0,0,0,1,0,0,0,1,0,0,0,1
3,1,0,3,6720,30,0,1,1,90,25.0,22,0,3,4,17,27069,14.0,0,1,0,0,0,0,0,1,0,0,1
2,7,0,2,4135,68,0,0,0,151,19.0,27,0,3,6,26,34108,20.0,0,0,1,0,0,0,1,0,0,0,1
2,6,1,3,3880,23,0,1,1,112,35.0,9,1,3,3,32,11134,14.0,0,0,1,0,1,0,0,0,0,1,0
2,2,1,2,4821,68,0,0,1,196,44.0,17,1,5,3,32,22121,14.0,0,0,1,0,1,0,0,0,0,0,1
2,3,5,2,4197,29,0,0,1,90,38.0,16,1,1,4,22,21076,14.0,0,1,0,0,1,0,0,0,0,1,0
3,6,0,2,3820,50,0,0,1,58,29.0,14,1,3,1,23,18149,9.0,0,0,0,1,0,0,0,0,1,0,1
3,2,3,3,3973,36,0,0,1,140,22.0,22,0,5,5,6,27151,14.0,1,1,0,0,0,0,0,0,1,1,0
2,2,0,2,4244,38,0,0,1,255,29.0,13,1,3,3,19,17143,14.0,0,1,0,0,0,1,0,0,0,1,0
3,6,0,3,2802,40,0,0,1,256,28.0,16,1,2,6,24,21130,13.0,0,1,0,0,0,0,0,1,0,1,0
3,0,1,1,8913,55,0,0,1,95,38.0,14,0,5,6,29,18118,14.0,0,1,0,0,0,0,0,0,1,0,1
2,3,0,2,5309,16,0,0,1,84,37.0,26,0,4,2,12,30115,14.0,1,1,0,0,1,0,0,0,0,1,0
1,0,0,4,5957,33,0,0,0,83,22.0,8,0,5,1,15,10060,14.0,0,0,0,1,0,0,0,0,1,1,0
2,8,2,4,3919,49,0,0,0,173,18.0,6,1,1,5,26,8102,14.0,0,0,0,1,0,0,1,0,0,0,1
3,5,0,4,7117,23,0,0,0,212,25.0,18,0,4,3,23,20090,15.0,0,0,0,1,0,0,0,0,1,1,0
1,2,1,2,4339,63,0,0,1,158,11.0,14,0,3,5,15,17140,14.0,0,0,0,1,0,0,0,0,1,0,1
3,4,2,4,4407,19,0,0,1,103,21.0,18,0,2,3,24,22100,14.0,0,1,0,0,0,0,0,1,0,0,1
3,1,0,4,4760,48,0,0,1,55,34.0,26,0,2,4,28,35130,14.0,1,1,0,0,0,0,0,0,1,1,0
3,7,0,2,5526,27,1,1,1,257,32.0,13,0,5,6,17,17097,10.0,0,1,0,0,0,0,0,1,0,1,0
2,8,0,2,5245,18,0,1,0,70,31.0,18,1,3,1,32,24113,12.0,1,0,1,0,1,0,0,0,0,0,1
1,4,0,4,4564,56,0,1,1,160,37.0,28,1,1,5,31,39115,27.0,0,0,0,0,0,0,0,0,0,1,0
3,7,0,2,6633,27,0,0,0,181,33.0,14,1,4,3,14,18123,11.0,0,0,1,0,0,0,0,1,0,1,0
3,1,1,2,6917,35,0,0,1,220,28.0,4,0,5,2,28,5103,14.0,0,1,0,0,0,0,0,0,1,1,0
2,7,0,3,4156,39,0,0,1,96,43.0,6,0,4,5,26,7118,4.0,0,1,0,0,0,0,1,0,0,1,0
2,1,1,4,4980,36,1,0,1,108,26.0,14,0,5,6,26,18117,14.0,0,0,0,1,0,0,1,0,0,1,0
3,8,1,3,4821,59,0,0,1,271,28.0,23,1,3,2,14,28094,12.0,0,1,0,0,0,0,0,1,0,1,0
3,0,2,5,4456,38,0,1,1,124,25.0,24,0,2,3,6,31059,14.0,0,0,0,1,0,0,0,0,1,0,1
2,5,2,2,4824,45,0,0,0,263,17.0,16,0,3,4,19,18080,14.0,0,0,1,0,0,1,0,0,0,0,1
3,5,2,4,3520,45,0,0,0,239,22.0,14,0,3,1,29,16060,14.0,0,1,0,0,0,0,0,0,1,0,1
2,2,0,4,4739,17,0,0,0,234,17.0,22,0,4,3,19,27150,14.0,0,1,0,0,0,1,0,0,0,0,1
2,7,0,4,5299,35,0,0,0,109,23.0,34,0,5,2,11,46100,26.0,0,0,0,1,0,0,1,0,0,1,0
3,0,1,2,5239,65,0,0,1,198,25.0,14,0,1,6,28,19131,14.0,0,1,0,0,0,0,0,0,1,0,1
2,1,0,2,6086,38,0,0,0,182,23.0,6,0,3,5,20,7105,14.0,0,0,1,0,0,0,1,0,0,0,1
2,3,0,3,4477,34,0,0,0,173,27.0,0,0,6,0,26,14130,2.0,0,1,0,0,0,0,1,0,0,1,0
2,7,0,4,5118,39,0,0,1,114,39.0,24,1,4,3,1,31133,26.0,0,1,0,0,1,0,0,0,0,1,0
2,1,0,2,5104,28,0,0,1,166,29.0,8,0,3,1,32,10140,14.0,0,0,1,0,1,0,0,0,0,0,1
2,2,0,5,5218,24,0,0,1,151,32.0,18,0,1,4,26,22122,14.0,0,1,0,0,0,0,1,0,0,0,1
2,6,0,4,5117,51,0,0,1,96,32.0,14,0,3,3,26,18139,7.0,0,0,0,1,0,0,1,0,0,1,0
2,1,1,5,5392,58,0,1,1,158,27.0,23,0,5,5,11,29073,14.0,0,0,0,1,0,0,1,0,0,1,0
2,5,0,4,4221,54,1,0,1,141,24.0,12,1,1,5,12,17058,8.0,0,0,0,1,1,0,0,0,0,1,0
2,5,0,3,6299,21,0,0,1,261,29.0,16,0,4,5,26,20057,9.0,0,0,1,0,0,0,1,0,0,1,0
3,5,0,2,6541,52,0,0,1,165,20.0,10,1,5,3,14,14103,3.0,0,0,0,1,0,0,0,1,0,1,0
2,7,0,4,5879,67,0,1,1,204,25.0,6,0,5,6,11,8070,6.0,0,0,0,1,0,0,1,0,0,0,1
3,7,1,3,3430,34,0,0,0,262,27.0,11,0,5,4,29,14105,14.0,0,0,1,0,0,0,0,0,1,1,0
3,6,1,2,5285,62,1,0,1,141,44.0,7,0,2,2,25,9114,14.0,0,1,0,0,0,0,0,1,0,1,0
2,5,0,3,5153,64,0,0,1,60,29.0,4,0,4,3,11,5105,14.0,0,0,0,1,0,0,1,0,0,1,0
3,7,3,5,2748,56,0,0,0,130,22.0,12,0,3,3,23,14114,14.0,0,0,0,1,0,0,0,0,1,0,1
2,2,1,3,6590,27,0,0,1,254,12.0,18,0,3,5,26,22062,14.0,0,0,1,0,0,0,1,0,0,1,0
2,7,0,2,3795,28,0,0,1,227,31.0,18,1,1,5,32,24111,13.0,0,0,1,0,1,0,0,0,0,0,1
1,4,0,2,5278,51,0,0,1,247,27.0,20,0,2,5,9,28121,15.0,0,0,1,0,0,0,0,0,1,1,0
2,3,0,4,4418,64,0,0,1,78,22.0,37,0,2,4,1,50124,26.0,0,0,0,1,1,0,0,0,0,0,1
2,5,0,3,4204,67,0,0,0,248,18.0,0,0,6,0,32,6106,0.0,0,0,1,0,1,0,0,0,0,0,1
1,2,1,2,4292,49,0,0,1,252,31.0,28,0,5,5,2,36111,14.0,0,0,1,0,0,0,0,0,1,1,0
3,2,0,3,6780,40,0,0,1,261,23.0,7,0,3,2,25,8097,14.0,0,0,1,0,0,0,0,1,0,1,0
1,7,3,3,3046,69,0,0,1,177,33.0,14,0,3,4,15,16150,14.0,0,0,0,1,0,0,0,0,1,1,0
3,5,0,2,4119,31,0,0,1,105,27.0,15,0,4,4,29,19088,13.0,0,0,1,0,0,0,0,0,1,0,1
1,4,0,4,5340,49,0,0,0,69,29.0,26,1,5,2,3,34129,23.0,0,0,0,1,0,0,0,0,0,1,0
3,4,2,3,6298,51,0,0,0,79,33.0,4,0,4,2,14,5103,14.0,0,1,0,0,0,0,0,1,0,1,0
3,3,1,3,5243,40,0,0,0,232,29.0,22,0,4,6,14,26132,14.0,0,0,1,0,0,0,0,1,0,1,0
2,2,1,2,6320,38,0,0,1,66,33.0,30,0,3,2,11,36131,14.0,0,0,0,1,0,0,1,0,0,1,0
2,8,0,2,4172,68,0,0,1,171,27.0,18,0,4,6,27,20065,14.0,0,0,1,0,0,1,0,0,0,1,0
1,8,0,8,3948,54,1,0,1,161,25.0,15,0,4,5,31,19124,12.0,0,0,0,0,0,0,0,0,0,0,1
2,6,0,2,4078,49,0,0,1,110,24.0,21,0,3,4,12,24128,14.0,0,0,1,0,1,0,0,0,0,1,0
2,4,0,2,4430,33,0,0,0,92,32.0,20,0,5,2,12,27085,9.0,0,1,0,0,1,0,0,0,0,1,0
1,8,1,3,5041,31,0,0,1,262,26.0,26,0,5,4,13,33074,25.0,0,1,0,0,0,0,0,0,1,1,0
2,7,0,3,3825,54,0,0,1,223,40.0,5,0,4,1,32,6079,1.0,0,0,1,0,1,0,0,0,0,1,0
1,1,1,2,4554,31,0,1,1,144,39.0,24,0,2,4,3,30106,14.0,0,1,0,0,0,0,0,0,0,0,1
2,8,0,3,4334,53,0,0,1,86,31.0,15,1,1,4,27,21064,13.0,0,0,1,0,0,1,0,0,0,1,0
1,6,1,4,5013,32,1,0,1,225,36.0,11,1,1,6,21,14062,14.0,0,1,0,0,0,0,0,0,0,1,0
2,8,1,3,4670,55,0,1,1,128,31.0,24,0,2,4,26,31107,17.0,0,0,1,0,0,0,1,0,0,1,0
3,4,3,2,5862,26,0,0,0,196,18.0,16,0,2,4,5,21093,14.0,0,1,0,0,0,0,0,1,0,0,1
3,7,0,4,4393,59,1,0,1,145,32.0,9,0,2,4,23,12055,9.0,0,0,0,1,0,0,0,0,1,1,0
2,1,1,4,5150,48,0,0,1,99,25.0,6,0,5,1,19,8146,14.0,0,0,0,1,0,1,0,0,0,1,0
1,7,1,7,6062,32,0,0,1,115,39.0,18,1,1,1,15,24069,10.0,0,0,0,1,0,0,0,0,1,1,0
3,4,2,5,4396,58,0,0,1,187,37.0,15,1,1,4,28,19128,21.0,0,1,0,0,0,0,0,0,1,0,1
1,1,0,6,4279,55,0,0,1,58,31.0,4,0,5,2,3,6090,14.0,0,1,0,0,0,0,0,0,0,1,0
3,1,0,2,3775,17,1,0,1,114,42.0,20,0,1,1,23,28133,14.0,0,0,0,1,0,0,0,0,1,1,0
1,3,0,2,4480,50,0,0,1,200,24.0,17,0,4,5,16,21136,8.0,0,0,1,0,0,0,0,0,0,1,0
3,2,0,3,4937,40,0,0,0,260,18.0,10,0,4,6,14,12118,14.0,0,0,1,0,0,0,0,1,0,0,1
2,1,0,2,4763,16,1,0,1,215,27.0,39,0,3,4,26,48139,14.0,0,0,1,0,0,0,1,0,0,1,0
1,7,3,4,4838,26,0,0,0,97,18.0,21,1,1,5,3,28151,17.0,0,1,0,0,0,0,0,0,0,0,1
2,3,0,3,5861,55,1,0,1,106,35.0,24,0,2,4,26,30126,23.0,0,1,0,0,0,0,1,0,0,1,0
3,7,1,3,5420,58,0,0,0,134,25.0,22,0,3,3,17,27147,14.0,0,1,0,0,0,0,0,1,0,1,0
2,6,0,2,4114,53,0,0,0,133,24.0,18,1,4,4,32,23135,12.0,0,0,1,0,1,0,0,0,0,0,1
2,0,0,5,4028,58,0,0,0,218,45.0,23,0,4,5,19,26084,14.0,0,0,0,1,0,1,0,0,0,1,0
2,0,0,2,4024,66,0,0,0,119,32.0,24,0,1,2,26,30105,14.0,0,0,1,0,0,0,1,0,0,1,0
2,1,2,3,4790,47,0,0,0,206,22.0,21,0,5,3,27,26123,14.0,0,0,0,1,0,1,0,0,0,0,1
2,6,0,4,4340,18,0,0,0,80,19.0,26,0,3,4,19,30145,21.0,0,0,0,1,0,1,0,0,0,0,1
2,5,5,2,3826,50,0,0,1,239,26.0,24,0,4,5,27,27112,14.0,0,1,0,0,0,1,0,0,0,1,0
1,1,4,3,4818,55,0,0,1,94,31.0,4,0,5,3,9,6097,14.0,0,0,1,0,0,0,0,0,1,1,0
3,3,0,4,4137,50,0,0,1,256,26.0,23,0,3,2,17,27058,16.0,0,1,0,0,0,0,0,1,0,1,0
1,1,0,3,4884,31,0,1,1,206,32.0,12,0,3,5,30,15110,14.0,0,0,0,1,0,0,0,0,0,0,1
3,4,0,3,4497,52,0,0,1,181,32.0,20,0,2,2,28,27119,11.0,0,1,0,0,0,0,0,0,1,0,1
1,1,0,4,4751,43,0,0,1,233,28.0,19,0,3,3,30,23137,14.0,0,0,0,1,0,0,0,0,0,0,1
3,1,0,4,4107,68,1,0,1,234,40.0,26,0,2,5,28,34138,14.0,0,1,0,0,0,0,0,0,1,0,1
2,4,1,4,5443,45,0,0,1,234,20.0,15,0,2,6,11,19103,14.0,0,0,0,1,0,0,1,0,0,0,1
3,5,0,3,4948,45,0,0,1,160,23.0,20,0,3,4,25,23084,14.0,0,0,0,1,0,0,0,1,0,1,0
2,4,0,2,6385,46,0,1,0,164,28.0,13,1,5,2,22,18151,5.0,0,0,1,0,1,0,0,0,0,1,0
3,4,0,5,4583,19,0,0,1,235,30.0,25,0,3,4,6,29116,26.0,0,0,0,1,0,0,0,0,1,0,1
3,2,0,2,5017,37,0,0,0,248,20.0,24,0,4,2,6,28064,14.0,0,1,0,0,0,0,0,0,1,1,0
2,5,0,4,4760,53,0,0,1,91,29.0,32,0,4,6,27,40088,23.0,0,0,0,1,0,1,0,0,0,1,0
2,3,0,4,3972,30,0,0,1,152,47.0,10,1,1,1,12,15090,6.0,0,1,0,0,1,0,0,0,0,1,0
3,5,1,3,5981,18,0,0,1,240,29.0,24,1,1,2,23,32055,14.0,0,1,0,0,0,0,0,0,1,0,1
2,3,0,2,3521,65,0,0,0,81,25.0,33,0,5,2,26,43066,17.0,0,1,0,0,0,0,1,0,0,0,1
1,4,3,3,8736,63,0,1,1,187,28.0,6,1,4,5,15,7120,6.0,0,0,1,0,0,0,0,0,1,0,1
3,8,0,2,5390,70,0,0,0,264,22.0,14,1,1,6,29,21059,7.0,0,0,1,0,0,0,0,0,1,1,0
2,8,0,3,4671,43,0,0,1,142,35.0,6,0,2,2,27,8100,6.0,0,1,0,0,0,1,0,0,0,0,1
3,7,1,3,8137,33,0,0,1,101,23.0,13,0,3,1,28,16116,8.0,0,1,0,0,0,0,0,0,1,0,1
2,3,1,2,6614,60,0,0,1,186,31.0,15,0,2,6,26,19114,14.0,0,0,0,1,0,0,1,0,0,1,0
2,3,0,2,4547,24,0,0,1,246,34.0,5,0,2,3,19,6134,14.0,0,0,1,0,0,1,0,0,0,1,0
2,3,0,2,7896,63,0,0,0,176,15.0,0,0,6,0,26,6057,0.0,0,0,1,0,0,0,1,0,0,0,1
2,8,3,4,3583,24,0,0,1,227,27.0,5,0,4,6,19,6106,14.0,0,0,0,1,0,1,0,0,0,0,1
3,8,0,2,4532,40,0,0,1,212,27.0,24,1,4,5,14,31076,15.0,0,0,1,0,0,0,0,1,0,1,0
2,1,0,2,8236,26,0,0,1,267,29.0,9,0,4,1,1,12129,14.0,0,1,0,0,1,0,0,0,0,1,0
3,0,1,3,3988,28,0,0,1,211,30.0,29,0,1,4,28,38151,14.0,0,1,0,0,0,0,0,0,1,0,1
2,4,3,2,6468,24,0,0,0,80,29.0,12,0,2,4,26,15087,14.0,1,0,1,0,0,0,1,0,0,0,1
2,7,0,4,5620,68,0,0,1,221,25.0,22,1,1,5,11,32056,15.0,0,0,0,1,0,0,1,0,0,1,0
3,5,0,2,5598,27,0,0,1,175,29.0,25,1,4,2,28,30056,18.0,0,1,0,0,0,0,0,0,1,1,0
1,0,0,2,6015,31,0,0,1,195,30.0,14,0,1,4,3,18127,14.0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,4,4207,61,1,0,1,189,30.0,15,0,4,6,11,18066,14.0,0,0,0,1,0,0,1,0,0,0,1
3,6,2,3,4752,28,0,0,1,170,40.0,5,1,4,2,28,6111,14.0,0,1,0,0,0,0,0,0,1,1,0
2,0,0,4,4739,55,0,0,1,198,38.0,39,0,2,5,26,52109,14.0,1,1,0,0,0,0,1,0,0,0,1
2,6,2,4,4862,21,0,0,0,149,29.0,0,0,6,0,11,3142,14.0,0,0,0,1,0,0,1,0,0,1,0
3,1,1,4,5211,33,0,0,1,190,33.0,4,0,5,1,28,6059,14.0,0,1,0,0,0,0,0,0,1,0,1
3,4,3,2,5558,47,1,0,0,159,40.0,5,1,2,3,28,8059,7.0,0,1,0,0,0,0,0,0,1,0,1
2,1,0,2,6927,36,1,0,0,106,28.0,18,0,5,4,27,23122,14.0,0,0,1,0,0,1,0,0,0,1,0
2,3,0,5,4637,64,0,0,0,170,18.0,0,0,6,0,1,13142,1.0,0,0,0,1,1,0,0,0,0,0,1
1,3,1,4,5059,43,1,0,1,206,34.0,33,0,3,6,31,39139,24.0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,4,4560,29,0,0,0,225,26.0,13,0,1,1,21,17148,14.0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,2,4847,53,0,0,0,230,20.0,0,0,6,0,21,5058,14.0,0,0,1,0,0,0,0,0,0,1,0
2,2,0,2,6499,41,0,0,1,190,35.0,11,0,2,5,26,14108,14.0,0,0,1,0,0,0,1,0,0,1,0
3,8,1,3,5606,68,0,0,1,214,25.0,12,1,2,4,23,16066,14.0,0,1,0,0,0,0,0,0,1,1,0
3,0,0,5,8052,22,0,0,1,101,21.0,19,0,2,6,23,25126,14.0,0,0,0,1,0,0,0,0,1,1,0
2,6,1,4,4723,29,0,0,1,161,31.0,10,1,4,4,19,12129,9.0,1,1,0,0,0,1,0,0,0,0,1
2,5,1,3,5428,30,0,0,1,70,38.0,7,0,3,4,27,8144,14.0,0,1,0,0,0,1,0,0,0,1,0
2,5,4,4,6060,66,0,0,1,141,39.0,25,0,4,6,19,29116,23.0,0,0,0,1,0,1,0,0,0,0,1
3,8,0,3,4796,30,0,0,1,86,33.0,12,0,2,1,5,16130,7.0,0,1,0,0,0,0,0,1,0,0,1
3,6,1,2,4485,23,0,0,1,157,29.0,5,0,2,2,29,7113,3.0,0,1,0,0,0,0,0,0,1,1,0
3,2,0,4,4513,53,0,0,0,170,27.0,38,0,1,2,24,51147,14.0,0,1,0,0,0,0,0,1,0,1,0
3,5,0,3,5483,24,1,0,1,214,28.0,17,1,5,4,29,22142,14.0,0,1,0,0,0,0,0,0,1,1,0
1,5,0,2,6765,62,0,0,1,157,32.0,11,0,2,2,2,15069,5.0,0,0,1,0,0,0,0,0,1,1,0
2,5,0,4,8506,62,0,0,0,152,36.0,34,0,3,4,11,43072,26.0,0,0,0,1,0,0,1,0,0,1,0
2,1,0,3,5042,53,0,0,1,84,24.0,4,1,3,3,11,5130,14.0,0,0,0,1,0,0,1,0,0,0,1
3,0,0,3,5289,65,0,0,1,234,30.0,24,0,3,4,17,28146,14.0,0,1,0,0,0,0,0,1,0,0,1
