storage_issue_reported_l3m,approved_wh_govt_certificate,wh_age,transport_issue_l1y,temp_reg_mach,dist_from_hub,retail_shop_num,retail_distributor_ratio,workers_num,govt_check_l3m,product_wg_ton
22,4,14.0,1,0,232,5243,131.075,29.0,14,26132
30,3,14.0,1,0,66,6320,166.31578947368422,33.0,11,36131
18,4,14.0,0,0,171,4172,61.35294117647059,27.0,27,20065
15,4,12.0,0,0,161,3948,73.11111111111111,25.0,31,19124
21,3,14.0,0,0,110,4078,83.22448979591837,24.0,12,24128
20,5,9.0,0,0,92,4430,134.24242424242425,32.0,12,27085
26,5,25.0,1,0,262,5041,162.61290322580646,26.0,13,33074
5,4,1.0,0,0,223,3825,70.83333333333333,40.0,32,6079
24,2,14.0,1,0,144,4554,146.90322580645162,39.0,3,30106
15,1,13.0,0,1,86,4334,81.77358490566037,31.0,27,21064
11,1,14.0,1,1,225,5013,156.65625,36.0,21,14062
24,2,17.0,1,0,128,4670,84.9090909090909,31.0,26,31107
16,2,14.0,3,0,196,5862,225.46153846153845,18.0,5,21093
9,2,9.0,0,0,145,4393,74.45762711864407,32.0,23,12055
6,5,14.0,1,0,99,5150,107.29166666666667,25.0,19,8146
18,1,10.0,1,1,115,6062,189.4375,39.0,15,24069
15,1,21.0,2,1,187,4396,75.79310344827586,37.0,28,19128
4,5,14.0,0,0,58,4279,77.8,31.0,3,6090
20,1,14.0,0,0,114,3775,222.05882352941177,42.0,23,28133
17,4,8.0,0,0,200,4480,89.6,24.0,16,21136
10,4,14.0,0,0,260,4937,123.425,18.0,14,12118
39,3,14.0,0,0,215,4763,297.6875,27.0,26,48139
21,1,17.0,3,1,97,4838,186.07692307692307,18.0,3,28151
24,2,23.0,0,0,106,5861,106.56363636363636,35.0,26,30126
22,3,14.0,1,0,134,5420,93.44827586206897,25.0,17,27147
18,4,12.0,0,1,133,4114,77.62264150943396,24.0,32,23135
23,4,14.0,0,0,218,4028,69.44827586206897,45.0,19,26084
24,1,14.0,0,0,119,4024,60.96969696969697,32.0,26,30105
21,5,14.0,2,0,206,4790,101.91489361702128,22.0,27,26123
26,3,21.0,0,0,80,4340,241.11111111111111,19.0,19,30145
24,4,14.0,5,0,239,3826,76.52,26.0,27,27112
4,5,14.0,4,0,94,4818,87.6,31.0,9,6097
23,3,16.0,0,0,256,4137,82.74,26.0,17,27058
12,3,14.0,0,0,206,4884,157.5483870967742,32.0,30,15110
20,2,11.0,0,0,181,4497,86.48076923076923,32.0,28,27119
19,3,14.0,0,0,233,4751,110.48837209302326,28.0,30,23137
26,2,14.0,0,0,234,4107,60.39705882352941,40.0,28,34138
15,2,14.0,1,0,234,5443,120.95555555555555,20.0,11,19103
20,3,14.0,0,0,160,4948,109.95555555555555,23.0,25,23084
13,5,5.0,0,1,164,6385,138.80434782608697,28.0,22,18151
25,3,26.0,0,0,235,4583,241.21052631578948,30.0,6,29116
24,4,14.0,0,0,248,5017,135.59459459459458,20.0,6,28064
32,4,23.0,0,0,91,4760,89.81132075471699,29.0,27,40088
10,1,6.0,0,1,152,3972,132.4,47.0,12,15090
24,1,14.0,1,1,240,5981,332.27777777777777,29.0,23,32055
33,5,17.0,0,0,81,3521,54.16923076923077,25.0,26,43066
6,4,6.0,3,1,187,8736,138.66666666666666,28.0,15,7120
14,1,7.0,0,1,264,5390,77.0,22.0,29,21059
6,2,6.0,0,0,142,4671,108.62790697674419,35.0,27,8100
13,3,8.0,1,0,101,8137,246.57575757575756,23.0,28,16116
15,2,14.0,1,0,186,6614,110.23333333333333,31.0,26,19114
5,2,14.0,0,0,246,4547,189.45833333333334,34.0,19,6134
0,6,0.0,0,0,176,7896,125.33333333333333,15.0,26,6057
5,4,14.0,3,0,227,3583,149.29166666666666,27.0,19,6106
24,4,15.0,0,1,212,4532,113.3,27.0,14,31076
9,4,14.0,0,0,267,8236,316.7692307692308,29.0,1,12129
29,1,14.0,1,0,211,3988,142.42857142857142,30.0,28,38151
12,2,14.0,3,0,80,6468,269.5,29.0,26,15087
22,1,15.0,0,1,221,5620,82.6470588235294,25.0,11,32056
25,4,18.0,0,1,175,5598,207.33333333333334,29.0,28,30056
14,1,14.0,0,0,195,6015,194.03225806451613,30.0,3,18127
15,4,14.0,0,0,189,4207,68.9672131147541,30.0,11,18066
5,4,14.0,2,1,170,4752,169.71428571428572,40.0,28,6111
39,2,14.0,0,0,198,4739,86.16363636363636,38.0,26,52109
0,6,14.0,2,0,149,4862,231.52380952380952,29.0,11,3142
4,5,14.0,1,0,190,5211,157.9090909090909,33.0,28,6059
5,2,7.0,3,1,159,5558,118.25531914893617,40.0,28,8059
18,5,14.0,0,0,106,6927,192.41666666666666,28.0,27,23122
0,6,1.0,0,0,170,4637,72.453125,18.0,1,13142
33,3,24.0,1,0,206,5059,117.65116279069767,34.0,31,39139
13,1,14.0,0,0,225,4560,157.24137931034483,26.0,21,17148
0,6,14.0,0,0,230,4847,91.45283018867924,20.0,21,5058
11,2,14.0,0,0,190,6499,158.5121951219512,35.0,26,14108
12,2,14.0,1,1,214,5606,82.44117647058823,25.0,23,16066
19,2,14.0,0,0,101,8052,366.0,21.0,23,25126
10,4,9.0,1,1,161,4723,162.86206896551724,31.0,19,12129
7,3,14.0,1,0,70,5428,180.93333333333334,38.0,27,8144
25,4,23.0,4,0,141,6060,91.81818181818181,39.0,19,29116
12,2,7.0,0,0,86,4796,159.86666666666667,33.0,5,16130
5,2,3.0,1,0,157,4485,195.0,29.0,29,7113
38,1,14.0,0,0,170,4513,85.15094339622641,27.0,24,51147
17,5,14.0,0,1,214,5483,228.45833333333334,28.0,29,22142
11,2,5.0,0,0,157,6765,109.11290322580645,32.0,2,15069
34,3,26.0,0,0,152,8506,137.19354838709677,36.0,11,43072
4,3,14.0,0,1,84,5042,95.13207547169812,24.0,11,5130
24,3,14.0,0,0,234,5289,81.36923076923077,30.0,17,28146
18,5,14.0,1,0,146,3291,106.16129032258064,27.0,11,23089
4,4,3.0,0,0,145,3913,62.111111111111114,18.0,14,4146
13,3,5.0,0,0,96,3846,124.06451612903226,30.0,32,17090
5,4,1.0,4,1,194,4560,81.42857142857143,39.0,9,7071
21,5,14.0,1,0,168,4192,149.71428571428572,28.0,28,27111
4,5,14.0,3,1,229,5222,174.06666666666666,36.0,9,5102
6,2,4.0,0,0,101,4975,261.8421052631579,45.0,10,7099
19,4,11.0,0,0,92,5550,80.43478260869566,28.0,30,22128
23,3,25.0,2,0,270,5719,112.13725490196079,40.0,28,26098
24,2,18.0,0,1,270,5467,95.91228070175438,32.0,17,31063
28,5,18.0,0,0,228,5086,158.9375,32.0,6,37072
13,4,9.0,0,0,174,5211,110.87234042553192,26.0,6,16141
0,6,2.0,0,0,139,5794,144.85,24.0,14,5076
23,1,14.0,0,1,259,5371,81.37878787878788,25.0,13,32120
20,4,14.0,1,0,88,5806,116.12,41.0,28,24098
25,1,24.0,0,1,264,3638,79.08695652173913,26.0,26,35063
29,5,14.0,0,0,158,2884,64.08888888888889,24.0,9,39095
6,3,5.0,0,0,122,5713,142.825,22.0,9,7073
14,4,14.0,2,0,202,4516,67.40298507462687,29.0,11,17060
4,5,14.0,5,0,59,4709,214.04545454545453,27.0,25,5126
17,4,14.0,5,0,201,4353,66.96923076923076,36.0,13,20082
33,1,16.0,0,1,62,5744,155.24324324324326,26.0,27,47079
24,3,25.0,0,1,169,5410,300.55555555555554,23.0,12,28112
5,1,14.0,3,0,78,5158,93.78181818181818,30.0,11,6136
17,2,18.0,2,1,136,4585,84.9074074074074,48.0,25,22093
22,5,14.0,3,1,71,5964,87.70588235294117,29.0,26,28150
27,3,26.0,0,0,255,4217,162.19230769230768,34.0,16,34147
23,2,19.0,0,1,210,4701,313.4,26.0,18,32114
15,4,14.0,1,0,71,4011,125.34375,29.0,25,17065
28,1,14.0,1,0,131,5321,253.38095238095238,23.0,32,37147
7,4,4.0,0,0,86,4013,125.40625,29.0,26,8091
15,2,14.0,3,0,268,3983,120.6969696969697,23.0,23,18122
30,3,21.0,0,0,82,5463,182.1,40.0,2,37074
14,5,14.0,4,0,140,4475,235.52631578947367,22.0,19,18062
4,2,14.0,0,0,191,5484,166.1818181818182,30.0,23,5078
18,1,14.0,0,0,190,4176,97.11627906976744,31.0,26,22071
26,5,14.0,1,0,84,4146,84.61224489795919,19.0,19,33082
15,3,10.0,0,1,186,4553,151.76666666666668,35.0,14,18147
20,1,10.0,0,1,75,4732,86.03636363636363,38.0,10,25093
8,2,3.0,0,1,123,5516,250.72727272727272,29.0,20,11131
6,3,2.0,0,0,193,5337,127.07142857142857,17.0,26,7068
37,1,14.0,0,1,76,7822,223.4857142857143,50.0,27,49091
28,3,14.0,2,0,230,5577,80.82608695652173,37.0,13,33100
9,3,14.0,0,0,199,4166,101.60975609756098,26.0,18,11068
34,4,14.0,0,0,241,3409,49.405797101449274,24.0,22,43081
24,3,14.0,1,0,208,4718,82.7719298245614,22.0,19,29073
14,3,9.0,0,0,60,4686,130.16666666666666,32.0,8,17095
34,2,14.0,0,0,85,5924,109.70370370370371,31.0,26,46121
7,5,14.0,0,0,260,4463,131.26470588235293,30.0,25,9096
12,3,8.0,2,0,222,3305,110.16666666666667,26.0,6,13085
14,4,14.0,2,0,61,5499,229.125,28.0,10,16066
14,2,14.0,1,0,100,5016,96.46153846153847,36.0,14,18079
24,4,14.0,2,0,257,4673,179.73076923076923,36.0,2,27104
13,2,7.0,0,0,90,4952,71.76811594202898,42.0,11,18122
0,6,14.0,0,0,194,3467,128.40740740740742,28.0,28,4115
18,4,10.0,0,0,119,7850,436.1111111111111,21.0,27,20076
0,6,2.0,0,0,183,4943,164.76666666666668,62.0,23,6123
22,2,14.0,4,0,234,7505,178.6904761904762,40.0,9,27105
23,3,24.0,0,0,224,4435,64.27536231884058,29.0,13,27121
22,5,14.0,4,0,98,6478,101.21875,15.0,26,27109
24,1,15.0,4,1,222,5204,76.52941176470588,31.0,15,32059
5,3,14.0,0,0,78,3856,63.21311475409836,29.0,9,6151
13,3,14.0,0,0,238,4545,90.9,15.0,26,16089
15,1,14.0,5,0,217,3982,120.66666666666667,30.0,19,19079
4,5,14.0,4,0,177,7501,250.03333333333333,28.0,4,6087
18,1,14.0,2,1,90,5449,100.9074074074074,29.0,26,24097
11,4,7.0,0,1,267,4250,70.83333333333333,15.0,11,15142
26,2,17.0,0,0,70,4947,71.69565217391305,24.0,29,35118
7,4,14.0,0,1,156,3970,180.45454545454547,40.0,27,8126
24,3,14.0,0,0,127,3900,125.80645161290323,33.0,26,30073
5,1,14.0,0,1,107,4968,74.14925373134328,21.0,2,7083
0,6,14.0,0,0,99,5308,94.78571428571429,46.0,18,4144
15,4,14.0,1,0,148,5045,85.50847457627118,49.0,23,18070
4,2,14.0,0,0,218,9581,416.5652173913044,28.0,19,5059
14,3,14.0,0,0,90,3619,53.220588235294116,33.0,11,16108
18,4,13.0,0,0,61,4435,184.79166666666666,28.0,9,23087
19,1,14.0,0,0,95,3829,67.17543859649123,19.0,6,25078
24,5,12.0,0,1,57,4166,71.82758620689656,28.0,9,34126
25,3,18.0,0,0,60,7355,156.48936170212767,28.0,1,32123
38,2,19.0,0,0,149,4720,71.51515151515152,28.0,12,51140
25,3,14.0,0,0,269,4224,145.6551724137931,25.0,26,30091
22,5,19.0,0,0,106,4690,74.44444444444444,29.0,6,27108
19,4,14.0,3,0,89,3696,52.8,44.0,26,22081
8,5,14.0,0,0,223,3545,208.52941176470588,28.0,27,10083
19,1,14.0,0,0,107,4947,235.57142857142858,26.0,27,23070
28,2,25.0,0,0,193,4042,79.25490196078431,18.0,23,38114
38,4,17.0,0,0,160,5025,209.375,21.0,9,47145
18,3,14.0,1,0,248,5527,153.52777777777777,29.0,32,22118
7,4,14.0,0,0,94,4208,95.63636363636364,49.0,1,8128
6,3,6.0,0,0,254,4119,95.79069767441861,45.0,26,7095
25,2,24.0,1,0,138,4707,142.63636363636363,27.0,29,32059
8,3,3.0,0,1,103,8304,488.47058823529414,28.0,26,10134
13,3,14.0,1,0,147,5788,241.16666666666666,46.0,23,15104
23,5,14.0,0,1,195,4418,245.44444444444446,19.0,6,30135
21,5,13.0,0,1,156,4523,180.92,20.0,31,28086
5,2,5.0,0,1,148,4062,96.71428571428571,32.0,20,7138
17,5,14.0,3,1,253,4107,241.58823529411765,27.0,13,22087
23,5,16.0,0,0,97,5451,77.87142857142857,25.0,31,30120
5,5,3.0,0,1,236,4502,83.37037037037037,30.0,1,7067
16,5,14.0,0,0,115,4744,237.2,39.0,17,21131
15,3,13.0,0,1,241,4622,84.03636363636363,24.0,26,19066
19,1,12.0,0,1,94,4344,155.14285714285714,28.0,26,27091
16,2,14.0,5,0,235,4853,161.76666666666668,34.0,26,20123
8,3,14.0,0,0,270,5299,311.70588235294116,27.0,27,9131
6,2,14.0,5,0,126,5086,145.31428571428572,22.0,26,7132
27,2,20.0,0,0,118,5396,117.30434782608695,32.0,28,34120
16,1,9.0,0,1,222,5072,110.26086956521739,35.0,27,23095
20,2,14.0,0,0,205,5265,122.44186046511628,34.0,28,26065
19,3,14.0,0,0,271,4619,72.171875,28.0,27,22124
23,1,14.0,2,1,164,5399,87.08064516129032,44.0,15,30102
16,3,14.0,2,1,230,4773,108.47727272727273,43.0,6,19061
13,4,14.0,1,0,164,5529,78.98571428571428,21.0,21,15108
4,3,14.0,2,0,60,4618,159.24137931034483,29.0,21,5086
18,1,14.0,0,0,66,4977,87.3157894736842,38.0,23,22110
14,5,14.0,2,0,143,6038,107.82142857142857,23.0,23,18083
25,4,23.0,3,0,264,5198,129.95,26.0,24,29057
7,5,3.0,1,1,255,4380,65.3731343283582,25.0,12,10135
7,4,14.0,4,0,77,7054,123.75438596491227,40.0,9,9103
10,5,14.0,2,0,222,4734,77.60655737704919,27.0,11,13091
4,3,4.0,0,0,177,5537,106.48076923076923,27.0,11,4090
23,5,21.0,2,0,65,5014,84.98305084745763,46.0,23,31134
25,1,20.0,2,1,80,4309,253.47058823529412,32.0,17,33137
8,3,8.0,1,0,248,5397,337.3125,36.0,30,9125
13,3,14.0,3,0,154,6899,209.06060606060606,18.0,14,15130
4,5,14.0,1,0,247,6167,123.34,25.0,32,5095
22,3,17.0,4,0,180,5497,189.55172413793105,23.0,21,26140
33,2,18.0,0,1,211,5184,76.23529411764706,20.0,19,43087
5,2,14.0,5,0,197,4774,71.25373134328358,21.0,11,7104
10,5,5.0,0,0,154,4874,118.8780487804878,27.0,32,13057
6,5,14.0,2,1,151,6118,105.48275862068965,23.0,31,9117
20,5,10.0,0,1,159,4874,270.77777777777777,35.0,23,28115
6,3,5.0,0,0,251,6460,115.35714285714286,29.0,27,7059
10,4,8.0,0,1,179,3783,59.109375,28.0,19,11080
5,3,7.0,0,0,189,4038,134.6,24.0,32,5062
25,2,26.0,0,1,106,4918,76.84375,23.0,2,32133
10,4,14.0,3,0,108,5763,102.91071428571429,29.0,26,12068
22,5,16.0,0,0,162,4786,111.30232558139535,26.0,27,29131
12,4,14.0,3,0,127,4359,92.74468085106383,30.0,21,13129
15,1,10.0,0,1,174,5618,92.09836065573771,28.0,19,21081
17,3,14.0,0,0,133,4040,73.45454545454545,33.0,26,21060
0,6,0.0,0,0,115,4854,74.67692307692307,21.0,19,6146
6,3,14.0,2,0,81,5407,98.30909090909091,30.0,3,7099
25,5,25.0,0,0,73,4727,248.78947368421052,30.0,12,32137
4,3,14.0,0,0,156,3839,119.96875,44.0,2,5140
4,5,4.0,3,1,191,3850,116.66666666666667,28.0,21,5070
30,3,24.0,0,1,112,5013,294.88235294117646,30.0,28,39079
8,3,14.0,0,0,175,4949,107.58695652173913,28.0,32,10103
24,1,18.0,4,1,158,4080,88.69565217391305,29.0,19,31074
9,2,14.0,3,0,79,5208,77.73134328358209,16.0,31,11102
7,1,14.0,5,1,172,3890,81.04166666666667,37.0,28,10139
17,1,14.0,4,1,220,5599,86.13846153846154,22.0,17,22072
19,4,14.0,1,1,117,4534,113.35,19.0,19,23134
12,2,14.0,0,0,97,4438,153.0344827586207,34.0,28,15125
18,1,14.0,1,1,175,4570,101.55555555555556,30.0,25,24151
36,4,14.0,0,0,124,5275,109.89583333333333,31.0,25,44059
4,1,14.0,2,1,163,5403,270.15,29.0,17,5102
25,1,20.0,2,1,97,5852,124.51063829787235,25.0,32,33095
34,5,17.0,0,1,265,3614,200.77777777777777,24.0,26,45068
32,1,26.0,0,1,63,4798,117.02439024390245,22.0,1,42138
35,3,18.0,0,0,245,4184,278.93333333333334,25.0,25,43120
21,2,9.0,0,0,94,4282,83.96078431372548,38.0,18,30065
4,5,14.0,1,0,269,5402,154.34285714285716,20.0,12,5093
5,5,3.0,0,1,195,6601,95.66666666666667,32.0,30,7109
24,1,14.0,0,1,271,6582,129.05882352941177,24.0,26,31083
19,2,12.0,0,0,206,5049,112.2,18.0,6,24085
23,5,17.0,4,0,92,5138,183.5,30.0,17,29116
14,1,14.0,2,0,115,3721,195.8421052631579,25.0,28,17136
12,2,14.0,0,0,119,3485,49.785714285714285,23.0,24,15107
13,2,14.0,0,0,243,4787,69.3768115942029,34.0,24,16080
12,5,14.0,0,0,154,3446,86.15,24.0,6,16061
22,5,14.0,0,0,143,4361,101.4186046511628,24.0,26,28082
20,3,13.0,0,0,221,5639,108.4423076923077,32.0,13,23102
24,5,21.0,0,0,214,8332,252.4848484848485,27.0,6,30149
18,2,15.0,1,0,61,3557,77.32608695652173,28.0,9,23144
26,5,22.0,0,0,77,4412,113.12820512820512,32.0,23,32067
20,3,14.0,0,0,214,5690,316.1111111111111,28.0,11,23073
18,1,15.0,3,1,155,4415,100.3409090909091,33.0,23,23151
11,1,14.0,2,1,247,4742,158.06666666666666,32.0,25,15102
17,4,17.0,1,0,202,5717,190.56666666666666,36.0,26,21118
12,2,9.0,0,0,124,3709,63.94827586206897,40.0,6,17093
0,6,1.0,1,0,165,4498,68.15151515151516,32.0,28,3102
21,4,14.0,0,0,204,5188,81.0625,22.0,17,24082
0,6,1.0,0,0,193,5313,102.17307692307692,28.0,13,5124
4,3,14.0,3,1,134,6237,94.5,20.0,26,4055
17,4,14.0,3,0,150,4250,94.44444444444444,31.0,17,19085
8,5,4.0,0,0,152,4959,79.98387096774194,33.0,22,11118
9,1,11.0,0,1,129,4810,78.85245901639344,20.0,32,12133
30,4,22.0,0,0,85,4907,245.35,23.0,19,38059
19,3,14.0,1,0,256,4646,232.3,32.0,1,22141
25,2,14.0,0,0,263,4138,76.62962962962963,36.0,18,32118
5,3,2.0,0,0,210,4771,95.42,19.0,23,6121
29,4,23.0,0,0,203,3974,79.48,28.0,6,35074
24,2,24.0,0,0,90,3840,93.65853658536585,32.0,16,31068
21,1,14.0,0,0,77,5319,312.88235294117646,56.0,28,30099
21,1,7.0,0,1,60,4427,126.48571428571428,20.0,24,31086
10,3,14.0,3,1,237,4822,172.21428571428572,32.0,19,12105
9,4,9.0,0,0,246,5711,105.75925925925925,31.0,26,11130
38,4,17.0,0,0,269,4809,114.5,25.0,13,47115
15,5,14.0,2,0,87,4163,130.09375,22.0,6,18108
6,3,14.0,3,0,74,4842,254.8421052631579,28.0,25,7133
17,2,15.0,0,0,92,5438,120.84444444444445,23.0,23,23070
16,2,10.0,0,0,110,5343,166.96875,45.0,10,23095
20,5,14.0,0,1,74,6639,189.68571428571428,28.0,10,26139
5,5,14.0,3,0,123,4508,93.91666666666667,29.0,12,7074
