Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,wh_age
Urban,Large,North,Zone 6,1,0,4,4760,Company Owned,48,0,0,1,55,34.0,26,0,A,4,28,35130,14.0
Rural,Large,North,Zone 5,7,0,2,5526,Company Owned,27,1,1,1,257,32.0,13,0,C,6,17,17097,10.0
Urban,Mid,South,Zone 2,8,0,2,5245,Rented,18,0,1,0,70,31.0,18,1,B+,1,32,24113,12.0
Rural,Small,East,Zone 1,4,0,4,4564,Company Owned,56,0,1,1,160,37.0,28,1,A+,5,31,39115,27.0
Rural,Large,South,Zone 5,7,0,2,6633,Company Owned,27,0,0,0,181,33.0,14,1,B,3,14,18123,11.0
Rural,Large,North,Zone 6,1,1,2,6917,Company Owned,35,0,0,1,220,28.0,4,0,C,2,28,5103,14.0
Rural,Mid,North,Zone 4,7,0,3,4156,Company Owned,39,0,0,1,96,43.0,6,0,B,5,26,7118,4.0
Rural,Mid,West,Zone 4,1,1,4,4980,Company Owned,36,1,0,1,108,26.0,14,0,C,6,26,18117,14.0
Rural,Large,North,Zone 5,8,1,3,4821,Company Owned,59,0,0,1,271,28.0,23,1,B+,2,14,28094,12.0
Rural,Large,West,Zone 6,0,2,5,4456,Rented,38,0,1,1,124,25.0,24,0,A,3,6,31059,14.0
Rural,Mid,South,Zone 3,5,2,2,4824,Rented,45,0,0,0,263,17.0,16,0,B+,4,19,18080,14.0
Rural,Large,North,Zone 6,5,2,4,3520,Rented,45,0,0,0,239,22.0,14,0,B+,1,29,16060,14.0
Rural,Mid,North,Zone 3,2,0,4,4739,Rented,17,0,0,0,234,17.0,22,0,B,3,19,27150,14.0
Rural,Mid,West,Zone 4,7,0,4,5299,Company Owned,35,0,0,0,109,23.0,34,0,C,2,11,46100,26.0
Rural,Large,North,Zone 6,0,1,2,5239,Rented,65,0,0,1,198,25.0,14,0,A+,6,28,19131,14.0
Rural,Mid,South,Zone 4,1,0,2,6086,Rented,38,0,0,0,182,23.0,6,0,B+,5,20,7105,14.0
Rural,Mid,North,Zone 4,3,0,3,4477,Company Owned,34,0,0,0,173,27.0,0,0,Unknown,0,26,14130,2.0
Rural,Mid,North,Zone 2,7,0,4,5118,Company Owned,39,0,0,1,114,39.0,24,1,B,3,1,31133,26.0
Rural,Mid,South,Zone 2,1,0,2,5104,Rented,28,0,0,1,166,29.0,8,0,B+,1,32,10140,14.0
Rural,Mid,North,Zone 4,2,0,5,5218,Rented,24,0,0,1,151,32.0,18,0,A+,4,26,22122,14.0
Rural,Mid,West,Zone 4,6,0,4,5117,Company Owned,51,0,0,1,96,32.0,14,0,B+,3,26,18139,7.0
Rural,Mid,West,Zone 4,1,1,5,5392,Company Owned,58,0,1,1,158,27.0,23,0,C,5,11,29073,14.0
Rural,Mid,West,Zone 2,5,0,4,4221,Company Owned,54,1,0,1,141,24.0,12,1,A+,5,12,17058,8.0
Rural,Mid,South,Zone 4,5,0,3,6299,Company Owned,21,0,0,1,261,29.0,16,0,B,5,26,20057,9.0
Rural,Large,West,Zone 5,5,0,2,6541,Company Owned,52,0,0,1,165,20.0,10,1,C,3,14,14103,3.0
Rural,Mid,West,Zone 4,7,0,4,5879,Rented,67,0,1,1,204,25.0,6,0,C,6,11,8070,6.0
Rural,Large,South,Zone 6,7,1,3,3430,Company Owned,34,0,0,0,262,27.0,11,0,C,4,29,14105,14.0
Rural,Large,North,Zone 5,6,1,2,5285,Company Owned,62,1,0,1,141,44.0,7,0,A,2,25,9114,14.0
Rural,Mid,West,Zone 4,5,0,3,5153,Company Owned,64,0,0,1,60,29.0,4,0,B,3,11,5105,14.0
Rural,Large,West,Zone 6,7,3,5,2748,Rented,56,0,0,0,130,22.0,12,0,B+,3,23,14114,14.0
Rural,Mid,South,Zone 4,2,1,3,6590,Company Owned,27,0,0,1,254,12.0,18,0,B+,5,26,22062,14.0
Rural,Mid,South,Zone 2,7,0,2,3795,Rented,28,0,0,1,227,31.0,18,1,A+,5,32,24111,13.0
Rural,Small,South,Zone 6,4,0,2,5278,Company Owned,51,0,0,1,247,27.0,20,0,A,5,9,28121,15.0
Rural,Mid,West,Zone 2,3,0,4,4418,Rented,64,0,0,1,78,22.0,37,0,A,4,1,50124,26.0
Rural,Mid,South,Zone 2,5,0,3,4204,Rented,67,0,0,0,248,18.0,0,0,Unknown,0,32,6106,0.0
Rural,Small,South,Zone 6,2,1,2,4292,Company Owned,49,0,0,1,252,31.0,28,0,C,5,2,36111,14.0
Rural,Large,South,Zone 5,2,0,3,6780,Company Owned,40,0,0,1,261,23.0,7,0,B+,2,25,8097,14.0
Rural,Small,West,Zone 6,7,3,3,3046,Company Owned,69,0,0,1,177,33.0,14,0,B+,4,15,16150,14.0
Rural,Large,South,Zone 6,5,0,2,4119,Rented,31,0,0,1,105,27.0,15,0,B,4,29,19088,13.0
Rural,Small,West,Zone 1,4,0,4,5340,Company Owned,49,0,0,0,69,29.0,26,1,C,2,3,34129,23.0
Rural,Large,North,Zone 5,4,2,3,6298,Company Owned,51,0,0,0,79,33.0,4,0,B,2,14,5103,14.0
Rural,Large,South,Zone 5,3,1,3,5243,Company Owned,40,0,0,0,232,29.0,22,0,B,6,14,26132,14.0
Rural,Mid,West,Zone 4,2,1,2,6320,Company Owned,38,0,0,1,66,33.0,30,0,B+,2,11,36131,14.0
Rural,Mid,South,Zone 3,8,0,2,4172,Company Owned,68,0,0,1,171,27.0,18,0,B,6,27,20065,14.0
Rural,Small,East,Zone 1,8,0,8,3948,Rented,54,1,0,1,161,25.0,15,0,B,5,31,19124,12.0
Rural,Mid,South,Zone 2,6,0,2,4078,Company Owned,49,0,0,1,110,24.0,21,0,B+,4,12,24128,14.0
Rural,Mid,North,Zone 2,4,0,2,4430,Company Owned,33,0,0,0,92,32.0,20,0,C,2,12,27085,9.0
Rural,Small,North,Zone 6,8,1,3,5041,Company Owned,31,0,0,1,262,26.0,26,0,C,4,13,33074,25.0
Rural,Mid,South,Zone 2,7,0,3,3825,Company Owned,54,0,0,1,223,40.0,5,0,B,1,32,6079,1.0
Rural,Small,North,Zone 1,1,1,2,4554,Rented,31,0,1,1,144,39.0,24,0,A,4,3,30106,14.0
Rural,Mid,South,Zone 3,8,0,3,4334,Company Owned,53,0,0,1,86,31.0,15,1,A+,4,27,21064,13.0
Rural,Small,North,Zone 1,6,1,4,5013,Company Owned,32,1,0,1,225,36.0,11,1,A+,6,21,14062,14.0
Rural,Mid,South,Zone 4,8,1,3,4670,Company Owned,55,0,1,1,128,31.0,24,0,A,4,26,31107,17.0
Rural,Large,North,Zone 5,4,3,2,5862,Rented,26,0,0,0,196,18.0,16,0,A,4,5,21093,14.0
Rural,Large,West,Zone 6,7,0,4,4393,Company Owned,59,1,0,1,145,32.0,9,0,A,4,23,12055,9.0
Rural,Mid,West,Zone 3,1,1,4,5150,Company Owned,48,0,0,1,99,25.0,6,0,C,1,19,8146,14.0
Rural,Small,West,Zone 6,7,1,7,6062,Company Owned,32,0,0,1,115,39.0,18,1,A+,1,15,24069,10.0
Rural,Large,North,Zone 6,4,2,5,4396,Rented,58,0,0,1,187,37.0,15,1,A+,4,28,19128,21.0
Rural,Small,North,Zone 1,1,0,6,4279,Company Owned,55,0,0,1,58,31.0,4,0,C,2,3,6090,14.0
Rural,Large,West,Zone 6,1,0,2,3775,Company Owned,17,1,0,1,114,42.0,20,0,A+,1,23,28133,14.0
Rural,Small,South,Zone 1,3,0,2,4480,Company Owned,50,0,0,1,200,24.0,17,0,B,5,16,21136,8.0
Rural,Large,South,Zone 5,2,0,3,4937,Rented,40,0,0,0,260,18.0,10,0,B,6,14,12118,14.0
Rural,Mid,South,Zone 4,1,0,2,4763,Company Owned,16,1,0,1,215,27.0,39,0,B+,4,26,48139,14.0
Rural,Small,North,Zone 1,7,3,4,4838,Rented,26,0,0,0,97,18.0,21,1,A+,5,3,28151,17.0
Rural,Mid,North,Zone 4,3,0,3,5861,Company Owned,55,1,0,1,106,35.0,24,0,A,4,26,30126,23.0
Rural,Large,North,Zone 5,7,1,3,5420,Company Owned,58,0,0,0,134,25.0,22,0,B+,3,17,27147,14.0
Rural,Mid,South,Zone 2,6,0,2,4114,Rented,53,0,0,0,133,24.0,18,1,B,4,32,23135,12.0
Rural,Mid,West,Zone 3,0,0,5,4028,Company Owned,58,0,0,0,218,45.0,23,0,B,5,19,26084,14.0
Rural,Mid,South,Zone 4,0,0,2,4024,Company Owned,66,0,0,0,119,32.0,24,0,A+,2,26,30105,14.0
Rural,Mid,West,Zone 3,1,2,3,4790,Rented,47,0,0,0,206,22.0,21,0,C,3,27,26123,14.0
Rural,Mid,West,Zone 3,6,0,4,4340,Rented,18,0,0,0,80,19.0,26,0,B+,4,19,30145,21.0
Rural,Mid,North,Zone 3,5,5,2,3826,Company Owned,50,0,0,1,239,26.0,24,0,B,5,27,27112,14.0
Rural,Small,South,Zone 6,1,4,3,4818,Company Owned,55,0,0,1,94,31.0,4,0,C,3,9,6097,14.0
Rural,Large,North,Zone 5,3,0,4,4137,Company Owned,50,0,0,1,256,26.0,23,0,B+,2,17,27058,16.0
Rural,Small,West,Zone 1,1,0,3,4884,Rented,31,0,1,1,206,32.0,12,0,B+,5,30,15110,14.0
Rural,Large,North,Zone 6,4,0,3,4497,Rented,52,0,0,1,181,32.0,20,0,A,2,28,27119,11.0
Rural,Small,West,Zone 1,1,0,4,4751,Rented,43,0,0,1,233,28.0,19,0,B+,3,30,23137,14.0
Rural,Large,North,Zone 6,1,0,4,4107,Rented,68,1,0,1,234,40.0,26,0,A,5,28,34138,14.0
Rural,Mid,West,Zone 4,4,1,4,5443,Rented,45,0,0,1,234,20.0,15,0,A,6,11,19103,14.0
Rural,Large,West,Zone 5,5,0,3,4948,Company Owned,45,0,0,1,160,23.0,20,0,B+,4,25,23084,14.0
Rural,Mid,South,Zone 2,4,0,2,6385,Company Owned,46,0,1,0,164,28.0,13,1,C,2,22,18151,5.0
Rural,Large,West,Zone 6,4,0,5,4583,Rented,19,0,0,1,235,30.0,25,0,B+,4,6,29116,26.0
Rural,Large,North,Zone 6,2,0,2,5017,Company Owned,37,0,0,0,248,20.0,24,0,B,2,6,28064,14.0
Rural,Mid,West,Zone 3,5,0,4,4760,Company Owned,53,0,0,1,91,29.0,32,0,B,6,27,40088,23.0
Rural,Mid,North,Zone 2,3,0,4,3972,Company Owned,30,0,0,1,152,47.0,10,1,A+,1,12,15090,6.0
Rural,Large,North,Zone 6,5,1,3,5981,Rented,18,0,0,1,240,29.0,24,1,A+,2,23,32055,14.0
Rural,Mid,North,Zone 4,3,0,2,3521,Rented,65,0,0,0,81,25.0,33,0,C,2,26,43066,17.0
Rural,Small,South,Zone 6,4,3,3,8736,Rented,63,0,1,1,187,28.0,6,1,B,5,15,7120,6.0
Rural,Large,South,Zone 6,8,0,2,5390,Company Owned,70,0,0,0,264,22.0,14,1,A+,6,29,21059,7.0
Rural,Mid,North,Zone 3,8,0,3,4671,Rented,43,0,0,1,142,35.0,6,0,A,2,27,8100,6.0
Rural,Large,North,Zone 6,7,1,3,8137,Rented,33,0,0,1,101,23.0,13,0,B+,1,28,16116,8.0
Rural,Mid,West,Zone 4,3,1,2,6614,Company Owned,60,0,0,1,186,31.0,15,0,A,6,26,19114,14.0
Rural,Mid,South,Zone 3,3,0,2,4547,Company Owned,24,0,0,1,246,34.0,5,0,A,3,19,6134,14.0
Rural,Mid,South,Zone 4,3,0,2,7896,Rented,63,0,0,0,176,15.0,0,0,Unknown,0,26,6057,0.0
Rural,Mid,West,Zone 3,8,3,4,3583,Rented,24,0,0,1,227,27.0,5,0,B,6,19,6106,14.0
Rural,Large,South,Zone 5,8,0,2,4532,Company Owned,40,0,0,1,212,27.0,24,1,B,5,14,31076,15.0
Rural,Mid,North,Zone 2,1,0,2,8236,Company Owned,26,0,0,1,267,29.0,9,0,B,1,1,12129,14.0
Rural,Large,North,Zone 6,0,1,3,3988,Rented,28,0,0,1,211,30.0,29,0,A+,4,28,38151,14.0
Urban,Mid,South,Zone 4,4,3,2,6468,Rented,24,0,0,0,80,29.0,12,0,A,4,26,15087,14.0
Rural,Mid,West,Zone 4,7,0,4,5620,Company Owned,68,0,0,1,221,25.0,22,1,A+,5,11,32056,15.0
Rural,Large,North,Zone 6,5,0,2,5598,Company Owned,27,0,0,1,175,29.0,25,1,B,2,28,30056,18.0
Rural,Small,North,Zone 1,0,0,2,6015,Rented,31,0,0,1,195,30.0,14,0,A+,4,3,18127,14.0
Rural,Mid,West,Zone 4,0,0,4,4207,Rented,61,1,0,1,189,30.0,15,0,B,6,11,18066,14.0
Rural,Large,North,Zone 6,6,2,3,4752,Company Owned,28,0,0,1,170,40.0,5,1,B,2,28,6111,14.0
Urban,Mid,North,Zone 4,0,0,4,4739,Rented,55,0,0,1,198,38.0,39,0,A,5,26,52109,14.0
Rural,Mid,West,Zone 4,6,2,4,4862,Company Owned,21,0,0,0,149,29.0,0,0,Unknown,0,11,3142,14.0
Rural,Large,North,Zone 6,1,1,4,5211,Rented,33,0,0,1,190,33.0,4,0,C,1,28,6059,14.0
Rural,Large,North,Zone 6,4,3,2,5558,Rented,47,1,0,0,159,40.0,5,1,A,3,28,8059,7.0
Rural,Mid,South,Zone 3,1,0,2,6927,Company Owned,36,1,0,0,106,28.0,18,0,C,4,27,23122,14.0
Rural,Mid,West,Zone 2,3,0,5,4637,Rented,64,0,0,0,170,18.0,0,0,Unknown,0,1,13142,1.0
Rural,Small,North,Zone 1,3,1,4,5059,Company Owned,43,1,0,1,206,34.0,33,0,B+,6,31,39139,24.0
Rural,Small,South,Zone 1,0,0,4,4560,Rented,29,0,0,0,225,26.0,13,0,A+,1,21,17148,14.0
Rural,Small,South,Zone 1,1,0,2,4847,Company Owned,53,0,0,0,230,20.0,0,0,Unknown,0,21,5058,14.0
Rural,Mid,South,Zone 4,2,0,2,6499,Company Owned,41,0,0,1,190,35.0,11,0,A,5,26,14108,14.0
Rural,Large,North,Zone 6,8,1,3,5606,Company Owned,68,0,0,1,214,25.0,12,1,A,4,23,16066,14.0
Rural,Large,West,Zone 6,0,0,5,8052,Company Owned,22,0,0,1,101,21.0,19,0,A,6,23,25126,14.0
Urban,Mid,North,Zone 3,6,1,4,4723,Rented,29,0,0,1,161,31.0,10,1,B,4,19,12129,9.0
Rural,Mid,North,Zone 3,5,1,3,5428,Company Owned,30,0,0,1,70,38.0,7,0,B+,4,27,8144,14.0
Rural,Mid,West,Zone 3,5,4,4,6060,Rented,66,0,0,1,141,39.0,25,0,B,6,19,29116,23.0
Rural,Large,North,Zone 5,8,0,3,4796,Rented,30,0,0,1,86,33.0,12,0,A,1,5,16130,7.0
Rural,Large,North,Zone 6,6,1,2,4485,Company Owned,23,0,0,1,157,29.0,5,0,A,2,29,7113,3.0
Rural,Large,North,Zone 5,2,0,4,4513,Company Owned,53,0,0,0,170,27.0,38,0,A+,2,24,51147,14.0
Rural,Large,North,Zone 6,5,0,3,5483,Company Owned,24,1,0,1,214,28.0,17,1,C,4,29,22142,14.0
Rural,Small,South,Zone 6,5,0,2,6765,Company Owned,62,0,0,1,157,32.0,11,0,A,2,2,15069,5.0
Rural,Mid,West,Zone 4,5,0,4,8506,Company Owned,62,0,0,0,152,36.0,34,0,B+,4,11,43072,26.0
Rural,Mid,West,Zone 4,1,0,3,5042,Rented,53,0,0,1,84,24.0,4,1,B+,3,11,5130,14.0
Rural,Large,North,Zone 5,0,0,3,5289,Rented,65,0,0,1,234,30.0,24,0,B+,4,17,28146,14.0
Rural,Mid,West,Zone 4,1,1,6,3291,Rented,31,0,0,1,146,27.0,18,0,C,3,11,23089,14.0
Rural,Large,West,Zone 5,8,0,4,3913,Rented,63,0,0,0,145,18.0,4,0,B,3,14,4146,3.0
Rural,Mid,South,Zone 2,7,0,4,3846,Company Owned,31,0,0,1,96,30.0,13,0,B+,3,32,17090,5.0
Rural,Small,West,Zone 6,5,4,4,4560,Company Owned,56,0,0,1,194,39.0,5,1,B,1,9,7071,1.0
Rural,Large,North,Zone 6,3,1,2,4192,Rented,28,0,0,0,168,28.0,21,0,C,4,28,27111,14.0
Rural,Small,West,Zone 6,5,3,4,5222,Rented,30,0,0,1,229,36.0,4,1,C,3,9,5102,14.0
Rural,Large,West,Zone 5,7,0,2,4975,Rented,19,0,0,1,101,45.0,6,0,A,2,10,7099,4.0
Rural,Small,West,Zone 1,4,0,3,5550,Rented,69,0,0,1,92,28.0,19,0,B,4,30,22128,11.0
Rural,Large,North,Zone 6,3,2,4,5719,Rented,51,0,0,1,270,40.0,23,0,B+,3,28,26098,25.0
Rural,Large,North,Zone 5,4,0,2,5467,Rented,57,0,0,1,270,32.0,24,1,A,4,17,31063,18.0
Rural,Large,West,Zone 6,7,0,3,5086,Company Owned,32,0,0,1,228,32.0,28,0,C,2,6,37072,18.0
Rural,Large,North,Zone 6,5,0,2,5211,Company Owned,47,0,0,1,174,26.0,13,0,B,4,6,16141,9.0
Rural,Large,North,Zone 5,7,0,4,5794,Rented,40,0,0,1,139,24.0,0,0,Unknown,0,14,5076,2.0
